;nKEAOperatingState;nInterruptedStep;tDurationSprayCleaning;tDurationDripping;tDurationSuction;tDurationBlowing;fInterruptionCountdown;p_heat;p_int;p_clean;p_dry;durationDrying;temp_tank;tankTemperatureMin;tankTemperatureMax;c_pfluid;V_tank;rho_fluid;n_wp;m_wp;t_environment;durationCleaning;durationStart;n_start
33;3;2;600.0;10.0;10.0;10.0;562.7100219726562;10000.0;200.0;3430.0;9350.0;9.0;59.34000015258789;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;56;2
34;3;2;600.0;10.0;10.0;10.0;552.719970703125;10000.0;200.0;3430.0;9350.0;9.0;59.35000228881836;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;55;2
35;3;2;600.0;10.0;10.0;10.0;542.719970703125;10000.0;200.0;3430.0;9350.0;9.0;59.41666793823242;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;54;2
36;3;2;600.0;10.0;10.0;10.0;532.719970703125;10000.0;200.0;3430.0;9350.0;9.0;59.46000289916992;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;53;2
37;3;2;600.0;10.0;10.0;10.0;522.719970703125;10000.0;200.0;3430.0;9350.0;9.0;59.48666763305664;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;52;2
38;3;2;600.0;10.0;10.0;10.0;512.7000122070312;10000.0;200.0;3430.0;9350.0;9.0;59.46999740600586;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;51;2
39;3;2;600.0;10.0;10.0;10.0;502.7099914550781;10000.0;200.0;3430.0;9350.0;9.0;59.573333740234375;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;50;2
40;3;2;600.0;10.0;10.0;10.0;492.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;59.65333557128906;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;49;2
41;3;2;600.0;10.0;10.0;10.0;482.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;59.7400016784668;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;48;2
42;3;2;600.0;10.0;10.0;10.0;472.7149963378906;10000.0;200.0;3430.0;9350.0;9.0;59.90666580200195;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;47;2
43;3;2;600.0;10.0;10.0;10.0;462.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;60.03333282470703;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;46;2
44;3;2;600.0;10.0;10.0;10.0;452.7149963378906;10000.0;200.0;3430.0;9350.0;9.0;60.000003814697266;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;45;2
45;3;2;600.0;10.0;10.0;10.0;442.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;60.29999923706055;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;44;2
46;3;2;600.0;10.0;10.0;10.0;432.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;60.23332977294922;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;43;2
47;3;2;600.0;10.0;10.0;10.0;422.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;60.29999923706055;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;42;2
48;3;2;600.0;10.0;10.0;10.0;412.7099914550781;10000.0;200.0;3430.0;9350.0;9.0;60.396663665771484;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;41;2
49;3;2;600.0;10.0;10.0;10.0;402.7250061035156;10000.0;200.0;3430.0;9350.0;9.0;60.65999984741211;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.189998626708984;63.0;40;2
50;3;2;600.0;10.0;10.0;10.0;392.7250061035156;10000.0;200.0;3430.0;9350.0;9.0;60.540000915527344;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;39;2
51;3;2;600.0;10.0;10.0;10.0;382.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;60.709999084472656;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;38;2
52;3;2;600.0;10.0;10.0;10.0;372.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;60.78333282470703;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;37;2
53;3;2;600.0;10.0;10.0;10.0;362.7149963378906;10000.0;200.0;3430.0;9350.0;9.0;60.7933349609375;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;36;2
54;3;2;600.0;10.0;10.0;10.0;352.7200012207031;10000.0;200.0;3430.0;9350.0;9.0;60.93000030517578;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;35;2
